0,0
25.490000000000002,6.0
25.82,7.0
26.39,7.0
26.42,7.0
25.65,7.0
24.91,7.0
25.11,6.0
25.33,6.0
24.42,6.0
22.979999999999997,6.0
23.619999999999997,5.0
23.41,5.0
23.55,5.0
23.4,5.0
22.16,5.0
21.88,5.0
21.34,5.0
20.57,5.0
20.159999999999997,5.0
19.5,5.0
17.88,4.0
15.83,4.0
13.75,4.0
12.27,3.0
11.42,2.0
10.68,2.0
10.24,2.0
9.58,2.0
9.94,2.0
9.81,2.0
9.58,2.0
12.49,2.0
16.439999999999998,2.0
18.130000000000003,3.0
20.04,4.0
22.35,4.0
23.59,5.0
25.810000000000002,6.0
27.990000000000002,6.0
33.36,8.0
35.36,9.0
37.69,11.0
41.83,12.0
47.32,14.0
48.72,17.0
47.21,19.0
46.86,19.0
31.450000000000003,17.0
28.549999999999997,13.0
26.119999999999997,9.0
19.93,7.0
15.75,6.0
13.93,4.0
15.28,3.0
20.9,2.0
29.88,5.0
32.09,7.0
34.42,9.0
36.19,10.0
39.45,12.0
42.06,14.0
46.86,15.0
47.980000000000004,17.0
47.980000000000004,18.0
47.24,18.0
43.91,17.0
41.55,17.0
42.56,16.0
43.540000000000006,15.0
42.56,15.0
39.97,15.0
38.43,14.0
38.14,12.0
36.46,11.0
34.46,11.0
36.18,11.0
37.1,11.0
36.760000000000005,11.0
37.04,11.0
31.95,11.0
26.09,11.0
22.39,9.0
20.75,7.0
17.35,5.0
16.77,5.0
15.32,4.0
15.440000000000001,3.0
15.940000000000001,3.0
20.57,3.0
25.47,4.0
31.509999999999998,6.0
32.86,8.0
35.22,10.0
37.91,11.0
44.85,14.0
50.41,17.0
53.3,20.0
56.230000000000004,22.0
57.91,24.0
59.18,25.0
60.18,26.0
61.31999999999999,27.0
61.83,26.0
62.69,26.0
61.16,27.0
63.03,28.0
64.1,29.0
66.1,30.0
68.45,31.0
69.94,31.0
70.92,31.0
75.12,32.0
76.15,33.0
76.15,35.0
75.72,35.0
70.37,35.0
67.19,34.0
62.69,31.0
61.5,26.0
61.0,25.0
60.18,24.0
56.540000000000006,23.0
54.17,22.0
56.71000000000001,21.0
55.66,20.0
59.05,21.0
67.35,22.0
70.92,24.0
76.94,29.0
79.06,32.0
82.17,35.0
86.34,38.0
89.25999999999999,41.0
92.09,48.0
94.92,49.0
95.72,51.0
97.64,51.0
99.87,52.0
102.47999999999999,55.0
104.57,57.0
107.91,59.0
107.91,64.0
109.19,65.0
111.45,65.0
113.79,67.0
114.77,69.0
116.47,72.0
118.2,73.0
117.49000000000001,73.0
105.46,68.0
105.46,60.0
93.6,54.0
84.91,50.0
82.84,41.0
81.52000000000001,36.0
83.52000000000001,34.0
85.15,34.0
85.15,36.0
85.85,36.0
88.03,36.0
91.78,37.0
98.21000000000001,40.0
102.47999999999999,46.0
104.57,51.0
108.27000000000001,59.0
113.10000000000001,62.0
115.47,65.0
115.77,68.0
115.47,70.0
114.77,70.0
115.47,69.0
117.17999999999999,68.0
120.71000000000001,70.0
119.24,71.0
118.53,72.0
121.04,73.0
121.04,75.0
121.78,75.0
121.78,76.0
124.38,76.0
127.07,78.0
127.41,80.0
126.63,81.0
126.27,81.0
129.37,82.0
129.37,83.0
130.56,84.0
130.56,84.0
132.57999999999998,86.0
133.4,88.0
135.48000000000002,89.0
135.48000000000002,90.0
135.48000000000002,91.0
136.33,92.0
136.33,94.0
138.48,96.0
138.48,97.0
136.33,95.0
131.37,93.0
127.41,89.0
125.49,82.0
122.13,74.0
117.49000000000001,70.0
93.32,57.0
86.56,48.0
82.38,39.0
76.09,34.0
69.37,31.0
61.31999999999999,28.0
56.370000000000005,24.0
52.85,21.0
49.34,17.0
44.849999999999994,17.0
43.36,16.0
41.38,15.0
38.06,14.0
30.79,13.0
21.04,11.0
14.93,9.0
12.989999999999998,4.0
13.870000000000001,3.0
13.16,3.0
9.57,3.0
7.75,3.0
8.25,2.0
8.459999999999999,2.0
13.799999999999999,2.0
18.86,3.0
24.05,4.0
29.560000000000002,6.0
32.99,8.0
33.66,10.0
31.509999999999998,11.0
29.119999999999997,11.0
26.0,9.0
26.240000000000002,8.0
24.64,8.0
22.869999999999997,7.0
20.14,7.0
17.990000000000002,6.0
15.739999999999998,5.0
12.899999999999999,4.0
20.93,4.0
21.53,4.0
21.47,5.0
24.41,6.0
30.86,6.0
34.94,7.0
36.41,10.0
36.03,12.0
36.09,12.0
36.31,12.0
35.24,13.0
33.730000000000004,12.0
33.54,11.0
34.13,10.0
34.26,10.0
34.59,11.0
35.44,11.0
35.58,11.0
35.95,11.0
37.36,12.0
39.11,12.0
41.32,13.0
42.85,15.0
45.71,16.0
39.67,17.0
38.760000000000005,16.0
39.599999999999994,13.0
41.45,12.0
42.39,13.0
42.28,15.0
41.18,15.0
40.739999999999995,15.0
42.28,14.0
42.77,14.0
42.59,15.0
43.1,16.0
46.03,16.0
47.510000000000005,17.0
47.86,17.0
46.150000000000006,18.0
43.47,17.0
42.95,16.0
42.77,16.0
42.489999999999995,15.0
42.59,14.0
42.39,14.0
41.9,14.0
46.67,15.0
47.290000000000006,15.0
44.58,17.0
39.98,17.0
38.43,16.0
35.88,15.0
36.19,14.0
40.53,13.0
42.43,15.0
37.83,16.0
37.61,16.0
35.94,15.0
34.56,14.0
32.65,14.0
32.28,14.0
28.32,12.0
26.22,9.0
25.86,8.0
26.380000000000003,8.0
26.450000000000003,8.0
25.86,9.0
24.240000000000002,9.0
22.490000000000002,9.0
21.32,9.0
24.549999999999997,9.0
27.09,9.0
26.23,9.0
28.619999999999997,10.0
32.25,10.0
36.15,10.0
39.28,11.0
45.82,14.0
40.45,18.0
44.11,18.0
41.67,18.0
41.55,18.0
41.45,19.0
39.39,19.0
39.019999999999996,19.0
38.83,19.0
36.32,17.0
34.88,16.0
31.5,14.0
30.810000000000002,13.0
33.52,12.0
36.88,12.0
38.89,14.0
32.07,17.0
31.29,15.0
33.43,12.0
33.43,11.0
32.96,12.0
30.68,12.0
30.33,11.0
30.590000000000003,10.0
33.11,10.0
37.18,11.0
38.82,12.0
37.21,14.0
35.85,15.0
35.21,14.0
34.269999999999996,12.0
33.8,12.0
33.45,11.0
32.25,11.0
32.0,11.0
32.019999999999996,10.0
35.14,10.0
35.66,11.0
34.09,12.0
32.07,12.0
30.990000000000002,11.0
31.229999999999997,10.0
33.61,9.0
34.8,10.0
32.4,11.0
29.060000000000002,11.0
27.75,10.0
27.6,8.0
27.6,8.0
27.6,8.0
27.6,8.0
28.060000000000002,8.0
27.689999999999998,8.0
27.200000000000003,8.0
26.92,8.0
27.35,7.0
27.630000000000003,7.0
29.57,8.0
31.019999999999996,8.0
31.85,9.0
32.22,10.0
30.85,10.0
28.330000000000002,10.0
27.29,8.0
27.18,8.0
28.330000000000002,7.0
31.47,8.0
33.49,9.0
33.7,10.0
32.54,12.0
30.68,11.0
26.880000000000003,9.0
27.990000000000002,8.0
29.25,8.0
29.09,8.0
27.18,8.0
23.32,8.0
22.16,7.0
22.33,6.0
20.48,5.0
18.63,5.0
16.39,5.0
13.84,5.0
12.5,4.0
12.85,3.0
13.68,3.0
13.12,3.0
12.23,3.0
15.33,3.0
19.38,3.0
22.85,4.0
23.96,5.0
23.5,6.0
23.18,7.0
23.08,6.0
23.15,6.0
23.88,6.0
25.55,6.0
28.04,7.0
30.080000000000002,7.0
31.93,9.0
32.31,10.0
31.240000000000002,11.0
30.87,10.0
32.57,10.0
34.93,10.0
34.85,11.0
33.42,12.0
33.239999999999995,12.0
33.56,11.0
30.68,10.0
32.2,10.0
35.68,9.0
39.84,11.0
39.010000000000005,13.0
30.31,15.0
25.740000000000002,13.0
26.47,9.0
23.64,7.0
24.67,7.0
23.86,6.0
21.409999999999997,7.0
19.78,6.0
19.96,5.0
19.060000000000002,5.0
22.22,5.0
29.09,5.0
33.28,6.0
36.83,9.0
40.64,12.0
44.42,14.0
44.72,17.0
44.36,18.0
48.96,19.0
48.45,20.0
44.97,20.0
44.36,19.0
43.01,18.0
42.730000000000004,17.0
42.95,16.0
48.44,16.0
55.35,20.0
56.38,23.0
57.16,24.0
56.540000000000006,25.0
55.19,25.0
54.02,24.0
54.02,22.0
52.18,21.0
45.599999999999994,19.0
50.03,17.0
50.81,17.0
50.95,18.0
49.89,19.0
48.35,19.0
52.33,18.0
55.35,18.0
52.33,22.0
44.120000000000005,22.0
41.349999999999994,19.0
40.08,16.0
39.17,14.0
39.120000000000005,13.0
38.870000000000005,13.0
38.2,13.0
37.769999999999996,12.0
37.92,12.0
38.06,12.0
37.44,12.0
38.239999999999995,12.0
53.57,12.0
55.760000000000005,14.0
58.379999999999995,23.0
60.7,24.0
62.04,26.0
62.54,28.0
61.0,29.0
56.71000000000001,29.0
54.3,26.0
51.75,23.0
44.53,19.0
36.41,17.0
33.71,15.0
34.35,12.0
34.05,11.0
34.28,11.0
34.88,11.0
40.43,11.0
57.95,16.0
57.78,22.0
59.39,25.0
61.54,25.0
66.28999999999999,26.0
67.19,27.0
66.66,28.0
57.620000000000005,28.0
30.9,21.0
26.86,13.0
23.77,9.0
24.59,8.0
26.369999999999997,7.0
41.19,7.0
51.28,9.0
56.269999999999996,16.0
66.82,25.0
71.72,27.0
72.7,30.0
75.12,31.0
75.12,33.0
74.69,34.0
73.69,33.0
66.66,31.0
61.67999999999999,28.0
61.5,25.0
60.010000000000005,23.0
58.08,23.0
56.540000000000006,22.0
55.79,21.0
54.6,20.0
53.15,18.0
52.59,18.0
52.59,17.0
51.9,17.0
48.96,17.0
48.96,16.0
53.42,16.0
57.78,16.0
60.519999999999996,23.0
59.39,24.0
59.39,24.0
60.879999999999995,22.0
63.230000000000004,22.0
67.96000000000001,24.0
71.17,26.0
71.17,28.0
63.42,30.0
62.41,27.0
61.54,24.0
58.58,23.0
56.71000000000001,22.0
53.91,20.0
52.629999999999995,19.0
53.34,18.0
52.78,18.0
51.129999999999995,18.0
49.93,17.0
49.260000000000005,16.0
49.400000000000006,16.0
49.260000000000005,16.0
48.35,16.0
46.0,15.0
45.1,15.0
45.599999999999994,15.0
45.730000000000004,15.0
45.730000000000004,15.0
45.599999999999994,15.0
45.47,15.0
45.47,15.0
48.58,15.0
48.21,15.0
48.08,16.0
48.58,16.0
51.07,15.0
53.28,16.0
54.02,17.0
54.6,19.0
54.760000000000005,19.0
53.45,20.0
51.099999999999994,19.0
49.760000000000005,18.0
50.269999999999996,17.0
50.41,16.0
50.03,16.0
49.5,16.0
49.5,16.0
49.78,16.0
50.7,16.0
50.46,16.0
41.150000000000006,17.0
27.42,16.0
18.57,12.0
11.49,8.0
14.969999999999999,4.0
19.27,4.0
26.009999999999998,5.0
33.5,6.0
39.22,9.0
48.45,13.0
54.6,17.0
62.04,21.0
68.49000000000001,27.0
74.53999999999999,30.0
74.69,33.0
75.72,35.0
76.15,35.0
75.28999999999999,35.0
75.72,35.0
73.86,35.0
67.72,33.0
61.0,30.0
59.84,27.0
58.55,24.0
55.32,22.0
52.99,21.0
52.43,19.0
52.16,17.0
58.69,17.0
64.27,18.0
67.89,23.0
69.2,27.0
65.0,29.0
64.28,28.0
67.89,27.0
62.0,27.0
61.83,26.0
62.69,23.0
63.209999999999994,23.0
63.92,24.0
66.1,24.0
66.1,26.0
62.07,27.0
66.67,28.0
68.38,29.0
72.47,29.0
74.65,30.0
74.25,31.0
69.37,31.0
69.94,30.0
69.0,28.0
64.63,27.0
64.27,25.0
62.86,24.0
61.489999999999995,23.0
59.81999999999999,22.0
56.370000000000005,21.0
52.870000000000005,20.0
48.46,18.0
48.58,16.0
48.58,15.0
48.58,15.0
48.07,15.0
47.21,15.0
44.14,15.0
46.6,14.0
46.6,14.0
43.91,14.0
43.2,14.0
43.1,14.0
43.28,13.0
43.17,13.0
42.41,13.0
42.31,13.0
42.41,13.0
42.209999999999994,13.0
43.68,13.0
48.07,13.0
50.0,15.0
53.14,17.0
54.87,18.0
55.17,20.0
53.28,21.0
51.47,20.0
50.4,18.0
50.269999999999996,17.0
50.129999999999995,16.0
48.96,16.0
47.2,16.0
44.489999999999995,15.0
43.43000000000001,14.0
42.45,14.0
41.96,13.0
41.58,13.0
41.41,13.0
41.21,12.0
40.38,12.0
39.81,12.0
40.45,11.0
41.28,12.0
42.31,12.0
42.7,13.0
41.14,14.0
40.03,14.0
39.230000000000004,13.0
38.0,11.0
36.82,11.0
34.99,10.0
34.71,10.0
34.43,9.0
34.5,9.0
34.5,9.0
35.43,9.0
36.88,10.0
36.74,11.0
35.84,11.0
34.89,11.0
34.480000000000004,10.0
34.33,10.0
34.33,9.0
34.13,9.0
33.980000000000004,9.0
33.65,9.0
33.12,9.0
33.12,9.0
33.44,9.0
36.66,9.0
40.09,9.0
40.64,11.0
39.17,13.0
37.629999999999995,12.0
36.71,12.0
37.14,11.0
38.97,11.0
39.31,11.0
36.42,13.0
20.52,13.0
19.52,7.0
19.189999999999998,5.0
18.2,4.0
16.42,4.0
15.46,4.0
14.329999999999998,3.0
12.68,3.0
10.05,3.0
10.67,2.0
10.15,2.0
9.379999999999999,2.0
8.44,2.0
7.9,2.0
8.0,2.0
7.92,2.0
7.529999999999999,2.0
7.380000000000001,2.0
7.44,2.0
7.42,2.0
7.33,2.0
7.140000000000001,2.0
7.27,1.0
7.05,1.0
7.35,1.0
7.08,2.0
7.04,2.0
7.26,2.0
7.58,2.0
7.91,2.0
7.9399999999999995,2.0
7.9,2.0
7.460000000000001,2.0
7.47,2.0
7.4399999999999995,2.0
7.33,2.0
7.109999999999999,2.0
7.07,2.0
7.08,1.0
7.28,1.0
7.27,1.0
7.29,1.0
7.4,1.0
7.58,1.0
7.779999999999999,2.0
7.779999999999999,2.0
7.6899999999999995,2.0
7.32,2.0
7.050000000000001,2.0
7.15,2.0
8.14,2.0
10.16,2.0
13.02,2.0
12.92,3.0
11.76,3.0
11.68,3.0
13.59,3.0
16.939999999999998,3.0
18.29,3.0
19.04,4.0
18.92,5.0
20.78,5.0
22.52,6.0
26.380000000000003,7.0
27.35,8.0
31.39,9.0
33.42,9.0
35.05,10.0
35.65,11.0
36.47,12.0
36.519999999999996,13.0
35.91,14.0
35.68,14.0
35.76,14.0
37.42,14.0
37.879999999999995,15.0
38.29,15.0
36.62,16.0
36.54,16.0
36.87,16.0
34.72,15.0
31.810000000000002,14.0
29.240000000000002,12.0
29.43,11.0
31.62,11.0
35.39,11.0
34.65,12.0
